# Sr.No.    k (1/nm)             Energy(eV) 
  159         6.900000e-01         1.719734e-01   
  160         7.000000e-01         1.763829e-01   
  161         7.100000e-01         1.808282e-01   
  162         7.200000e-01         1.853087e-01   
  163         7.300000e-01         1.898236e-01   
  164         7.400000e-01         1.943722e-01   
  165         7.500000e-01         1.989538e-01   
  166         7.600000e-01         2.035678e-01   
  167         7.700000e-01         2.082135e-01   
  168         7.800000e-01         2.128902e-01   
  169         7.900000e-01         2.175972e-01   
  170         8.000000e-01         2.223340e-01   
  171         8.100000e-01         2.270998e-01   
  172         8.200000e-01         2.318941e-01   
  173         8.300000e-01         2.367161e-01   
  174         8.400000e-01         2.415654e-01   
  175         8.500000e-01         2.464412e-01   
  176         8.600000e-01         2.513430e-01   
  177         8.700000e-01         2.562702e-01   
  178         8.800000e-01         2.612221e-01   
  179         8.900000e-01         2.661983e-01   
  180         9.000000e-01         2.711980e-01   
  181         9.100000e-01         2.762209e-01   
  182         9.200000e-01         2.812661e-01   
  183         9.300000e-01         2.863334e-01   
  184         9.400000e-01         2.914220e-01   
  185         9.500000e-01         2.965314e-01   
  186         9.600000e-01         3.016612e-01   
  187         9.700000e-01         3.068107e-01   
  188         9.800000e-01         3.119795e-01   
  189         9.900000e-01         3.171670e-01   
  190         1.000000e+00         3.223728e-01   
  191         1.010000e+00         3.275962e-01   
  192         1.020000e+00         3.328370e-01   
  193         1.030000e+00         3.380944e-01   
  194         1.040000e+00         3.433682e-01   
  195         1.050000e+00         3.486577e-01   
  196         1.060000e+00         3.539626e-01   
  197         1.070000e+00         3.592823e-01   
  198         1.080000e+00         3.646164e-01   
  199         1.090000e+00         3.699644e-01   
  200         1.100000e+00         3.753260e-01   
  201         1.110000e+00         3.807006e-01   
  202         1.120000e+00         3.860879e-01   
  203         1.130000e+00         3.914874e-01   
  204         1.140000e+00         3.968986e-01   
  205         1.150000e+00         4.023213e-01   
  206         1.160000e+00         4.077549e-01   
  207         1.170000e+00         4.131991e-01   
  208         1.180000e+00         4.186534e-01   
  209         1.190000e+00         4.241175e-01   
  210         1.200000e+00         4.295910e-01   
  211         1.210000e+00         4.350735e-01   
  212         1.220000e+00         4.405647e-01   
  213         1.230000e+00         4.460641e-01   
  214         1.240000e+00         4.515715e-01   
  215         1.250000e+00         4.570864e-01   
  216         1.260000e+00         4.626085e-01   
  217         1.270000e+00         4.681374e-01   
  218         1.280000e+00         4.736728e-01   
  219         1.290000e+00         4.792145e-01   
  220         1.300000e+00         4.847619e-01   
  221         1.310000e+00         4.903149e-01   
  222         1.320000e+00         4.958731e-01   
  223         1.330000e+00         5.014362e-01   
  224         1.340000e+00         5.070038e-01   
  225         1.350000e+00         5.125757e-01   
  226         1.360000e+00         5.181516e-01   
  227         1.370000e+00         5.237312e-01   
  228         1.380000e+00         5.293141e-01   
  229         1.390000e+00         5.349001e-01   
